Date,Category,SubCategory,Expense Amount,Account,Payee,Notes,Device
2012-12-31,"MBB interest","      3.16","Maybank Savings","",""
2013-01-07,"Dec Claims","    644.95","CIMB Saving","",""
2013-01-17,"2012 Dec Salary","   6000.00","CIMB Saving","",""
2013-01-25,"Salary","   6000.00","Maybank Savings","",""
2013-01-26,"Playbook","     28.89","Paypal","",""
2013-01-26,"Playbook","      6.30","Paypal","",""
2013-01-31,"Meeples","    200.00","Maybank Savings","Meeples FAQ",""
2013-01-31,"Cimb Interest","      0.15","CIMB Saving","",""
2013-01-31,"Company Dinner Claim","    372.00","CIMB Saving","",""
2013-02-07,"Jan Claims","    241.20","CIMB Saving","",""
2013-02-07,"Bonus","  13745.93","CIMB Saving","",""
2013-02-07,"Feb Salary","   6000.00","Maybank Savings","",""
2013-02-07,"Bonus","   3429.67","CIMB Saving","",""
2013-02-07,"OMG","   3000.00","Maybank Savings","",""
2013-02-15,"Bonus","   3024.40","CIMB Saving","",""
2013-02-26,"Playbook","     69.73","Paypal","",""
2013-02-26,"Playbook","     14.94","Paypal","",""
2013-02-28,"Cimb Interest","      0.26","CIMB Saving","",""
2013-03-13,"Feb Claims","    507.05","CIMB Saving","",""
2013-03-19,"Playbook 100","    365.50","Maybank Savings","",""
2013-03-20,"PCB Rebate","   3021.30","CIMB Saving","",""
2013-03-26,"Playbook","     21.39","Paypal","",""
2013-03-26,"Playbook","     80.77","Paypal","",""
2013-03-28,"Interest","      0.02","Maybank Savings","",""
2013-03-29,"March Salary","   6000.00","CIMB Saving","",""
2013-03-31,"Interest","      0.17","CIMB Saving","",""
2013-04-04,"Joint Account Transfer","    253.95","CIMB Saving","",""
2013-04-16,"Blackberry","     21.71","Paypal","",""
2013-04-25,"Playbook","     43.37","Paypal","",""
2013-04-25,"Playbook","      8.38","Paypal","",""
2013-04-26,"April Salary","   6000.00","Maybank Savings","",""
2013-04-30,"Interest","      0.27","CIMB Saving","",""
2013-05-08,"March Claim","    377.10","Maybank Savings","",""
2013-05-10,"Phillipines Claim","    185.18","Maybank Savings","",""
2013-05-17,"Blackberry","     22.45","Paypal","",""
2013-05-24,"May Salary","   6000.00","Maybank Savings","",""
2013-05-28,"Playbook","     37.32","Paypal","",""
2013-05-28,"Playbook","      8.39","Paypal","",""
2013-05-31,"April Claim","    370.55","Maybank Savings","",""
2013-05-31,"Interest","      0.09","CIMB Saving","",""
2013-06-12,"Fd Interest","    197.99","CIMB Saving","",""
2013-06-12,"May Claim","    306.00","Maybank Savings","",""
2013-06-12,"OMG Paradise","   2000.00","CIMB Saving","",""
2013-06-17,"Blackberry","     10.98","Paypal","",""
2013-06-22,"June Salary","   6000.00","Maybank Savings","",""
2013-06-26,"Playbook","      4.39","Paypal","",""
2013-06-26,"Playbook","     23.41","Paypal","",""
2013-06-27,"June Claim","    165.00","Maybank Savings","",""
2013-06-30,"Mbb Interest","      6.43","Maybank Savings","",""
2013-06-30,"Cimb Interest","      0.07","CIMB Saving","",""
2013-07-08,"Fd Interest","     61.95","Maybank Savings","",""
2013-07-16,"Fd Interest","     36.99","CIMB Saving","",""
2013-07-16,"Blackberry","      6.44","Paypal","",""
2013-07-26,"Playbook","     21.74","Paypal","",""
2013-07-29,"July Salary","   6000.00","CIMB Saving","",""
2013-07-31,"Cimb Interest","      0.15","CIMB Saving","",""
2013-08-20,"Blackberry","      3.78","Paypal","",""
2013-08-21,"July Claim","    474.90","CIMB Saving","",""
2013-08-24,"Playbook","     13.67","Paypal","",""
2013-08-24,"Playbook","     22.25","Paypal","",""
2013-08-27,"August Salary","   6000.00","CIMB Saving","",""
2013-08-31,"Interest","      0.20","CIMB Saving","",""
2013-09-18,"Blackberry","      4.18","Paypal","",""
2013-09-25,"Sept Salary","   4391.63","CIMB Saving","",""
2013-09-26,"Playbook","     23.30","Paypal","",""
2013-09-30,"Interest","      0.26","CIMB Saving","",""
2013-10-01,"Fd Withdraw","   2151.48","Maybank Savings","",""
